wind_turbines$start:INTEGER,wind_turbines$end:INTEGER,wind_turbines$metadata_id:ArrayType,wind_turbines$features_properties_mag:(Float)
1647385200000,1647385800000,650f0dac-6228-4ee8-906d-4173261d7095,7542428.500000
1647385800000,1647386400000,650f0dac-6228-4ee8-906d-4173261d7095,9941600.000000
1647386400000,1647387000000,650f0dac-6228-4ee8-906d-4173261d7095,10842671.000000
1647387000000,1647387600000,650f0dac-6228-4ee8-906d-4173261d7095,14288031.000000
1647387600000,1647388200000,650f0dac-6228-4ee8-906d-4173261d7095,8157870.000000
1647388200000,1647388800000,650f0dac-6228-4ee8-906d-4173261d7095,11105812.000000
1647388800000,1647389400000,650f0dac-6228-4ee8-906d-4173261d7095,9034781.000000
1647389400000,1647390000000,650f0dac-6228-4ee8-906d-4173261d7095,12650501.000000
1647390000000,1647390600000,650f0dac-6228-4ee8-906d-4173261d7095,10416137.000000
1647390600000,1647391200000,650f0dac-6228-4ee8-906d-4173261d7095,11216930.000000
1647391200000,1647391800000,650f0dac-6228-4ee8-906d-4173261d7095,9530718.000000
1647391800000,1647392400000,650f0dac-6228-4ee8-906d-4173261d7095,6916323.000000
1647392400000,1647393000000,650f0dac-6228-4ee8-906d-4173261d7095,11050155.000000
1647393000000,1647393600000,650f0dac-6228-4ee8-906d-4173261d7095,9622540.000000
1647393600000,1647394200000,650f0dac-6228-4ee8-906d-4173261d7095,8708896.000000
1647394200000,1647394800000,650f0dac-6228-4ee8-906d-4173261d7095,9763376.000000
1647394800000,1647395400000,650f0dac-6228-4ee8-906d-4173261d7095,9602352.000000
1647395400000,1647396000000,650f0dac-6228-4ee8-906d-4173261d7095,12980734.000000
1647396000000,1647396600000,650f0dac-6228-4ee8-906d-4173261d7095,9148121.000000
1647396600000,1647397200000,650f0dac-6228-4ee8-906d-4173261d7095,12189745.000000
1647397200000,1647397800000,650f0dac-6228-4ee8-906d-4173261d7095,9049042.000000
1647397800000,1647398400000,650f0dac-6228-4ee8-906d-4173261d7095,12223724.000000
1647398400000,1647399000000,650f0dac-6228-4ee8-906d-4173261d7095,10622267.000000
1647399000000,1647399600000,650f0dac-6228-4ee8-906d-4173261d7095,11234836.000000
1647399600000,1647400200000,650f0dac-6228-4ee8-906d-4173261d7095,10520900.000000
1647400200000,1647400800000,650f0dac-6228-4ee8-906d-4173261d7095,11339632.000000
1647400800000,1647401400000,650f0dac-6228-4ee8-906d-4173261d7095,7208994.500000
1647401400000,1647402000000,650f0dac-6228-4ee8-906d-4173261d7095,6095737.500000
1647402000000,1647402600000,650f0dac-6228-4ee8-906d-4173261d7095,13123324.000000
1647402600000,1647403200000,650f0dac-6228-4ee8-906d-4173261d7095,9864466.000000
1647403200000,1647403800000,650f0dac-6228-4ee8-906d-4173261d7095,12248620.000000
1647403800000,1647404400000,650f0dac-6228-4ee8-906d-4173261d7095,10183567.000000
1647404400000,1647405000000,650f0dac-6228-4ee8-906d-4173261d7095,10440133.000000
1647405000000,1647405600000,650f0dac-6228-4ee8-906d-4173261d7095,11671084.000000
1647405600000,1647406200000,650f0dac-6228-4ee8-906d-4173261d7095,13300662.000000
1647406200000,1647406800000,650f0dac-6228-4ee8-906d-4173261d7095,9120245.000000
1647406800000,1647407400000,650f0dac-6228-4ee8-906d-4173261d7095,11078420.000000
1647407400000,1647408000000,650f0dac-6228-4ee8-906d-4173261d7095,11009154.000000
1647408000000,1647408600000,650f0dac-6228-4ee8-906d-4173261d7095,11710411.000000
1647408600000,1647409200000,650f0dac-6228-4ee8-906d-4173261d7095,10344472.000000
1647409200000,1647409800000,650f0dac-6228-4ee8-906d-4173261d7095,7377729.000000
1647409800000,1647410400000,650f0dac-6228-4ee8-906d-4173261d7095,7940443.000000
1647410400000,1647411000000,650f0dac-6228-4ee8-906d-4173261d7095,12136559.000000
1647411000000,1647411600000,650f0dac-6228-4ee8-906d-4173261d7095,12114814.000000
1647411600000,1647412200000,650f0dac-6228-4ee8-906d-4173261d7095,11632653.000000
1647412200000,1647412800000,650f0dac-6228-4ee8-906d-4173261d7095,10256138.000000
1647412800000,1647413400000,650f0dac-6228-4ee8-906d-4173261d7095,10351231.000000
1647413400000,1647414000000,650f0dac-6228-4ee8-906d-4173261d7095,13047673.000000
1647414000000,1647414600000,650f0dac-6228-4ee8-906d-4173261d7095,10359002.000000
1647414600000,1647415200000,650f0dac-6228-4ee8-906d-4173261d7095,8604575.000000
1647415200000,1647415800000,650f0dac-6228-4ee8-906d-4173261d7095,10247703.000000
1647415800000,1647416400000,650f0dac-6228-4ee8-906d-4173261d7095,12633071.000000
1647416400000,1647417000000,650f0dac-6228-4ee8-906d-4173261d7095,13191648.000000
1647417000000,1647417600000,650f0dac-6228-4ee8-906d-4173261d7095,12748078.000000
1647417600000,1647418200000,650f0dac-6228-4ee8-906d-4173261d7095,10021908.000000
1647418200000,1647418800000,650f0dac-6228-4ee8-906d-4173261d7095,9388003.000000
1647418800000,1647419400000,650f0dac-6228-4ee8-906d-4173261d7095,8103457.000000
1647419400000,1647420000000,650f0dac-6228-4ee8-906d-4173261d7095,13022251.000000
1647420000000,1647420600000,650f0dac-6228-4ee8-906d-4173261d7095,8905494.000000
1647420600000,1647421200000,650f0dac-6228-4ee8-906d-4173261d7095,8417792.000000
1647421200000,1647421800000,650f0dac-6228-4ee8-906d-4173261d7095,13843127.000000
1647421800000,1647422400000,650f0dac-6228-4ee8-906d-4173261d7095,10111208.000000
1647422400000,1647423000000,650f0dac-6228-4ee8-906d-4173261d7095,9168812.000000
1647423000000,1647423600000,650f0dac-6228-4ee8-906d-4173261d7095,12337220.000000
